Column,Classification,Frequency,Example_Files,Schema_Status,Schema_Match
id,Computer Generated,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),Id
dataSubtype,Computer Generated,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),DataSubtype
dataType,Computer Generated,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),DataType
fileFormat,Computer Generated,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),FileFormat
individualID,Computer Generated,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),IndividualID
resourceType,Computer Generated,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),ResourceType
specimenID,Computer Generated,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),SpecimenID
studyId,Computer Generated,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),StudyId
tumorType,Computer Generated,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),TumorType
nf1Genotype,Computer Generated,36,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),Nf1Genotype
nf2Genotype,Computer Generated,36,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),Nf2Genotype
cellType,Computer Generated,32,"nf_10.csv, nf_11.csv, nf_12.csv",Found (Case Insensitive),CellType
runType,Computer Generated,26,"nf_12.csv, nf_13.csv, nf_14.csv",Found (Case Insensitive),RunType
parentId,Computer Generated,26,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),ParentId
createdOn,Computer Generated,26,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),CreatedOn
createdBy,Computer Generated,26,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),CreatedBy
etag,Computer Generated,26,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),Etag
modifiedOn,Computer Generated,26,"nf_13.csv, nf_14.csv, nf_15.csv",NOT FOUND IN SCHEMA,
type,Computer Generated,26,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),Type
benefactorId,Computer Generated,26,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),BenefactorId
projectId,Computer Generated,26,"nf_13.csv, nf_14.csv, nf_15.csv",NOT FOUND IN SCHEMA,
currentVersion,Computer Generated,24,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),CurrentVersion
modifiedBy,Computer Generated,23,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),ModifiedBy
dataFileHandleId,Computer Generated,23,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),DataFileHandleId
diagnosis,Computer Generated,22,"nf_10.csv, nf_11.csv, nf_17.csv",Found (Case Insensitive),Diagnosis
readLength,Computer Generated,22,"nf_12.csv, nf_13.csv, nf_14.csv",Found (Case Insensitive),ReadLength
entityId,Computer Generated,21,"nf_1.csv, nf_12.csv, nf_21.csv",NOT FOUND IN SCHEMA,
studyName,Computer Generated,21,"nf_2.csv, nf_21.csv, nf_22.csv",Found (Case Insensitive),StudyName
platform,Computer Generated,20,"nf_12.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),Platform
readPairOrientation,Computer Generated,20,"nf_12.csv, nf_13.csv, nf_14.csv",Found (Case Insensitive),ReadPairOrientation
experimentalCondition,Computer Generated,20,"nf_17.csv, nf_18.csv, nf_19.csv",Found (Case Insensitive),ExperimentalCondition
dataFileSizeBytes,Computer Generated,19,"nf_13.csv, nf_14.csv, nf_15.csv",NOT FOUND IN SCHEMA,
dataFileMD5Hex,Computer Generated,17,"nf_13.csv, nf_14.csv, nf_15.csv",NOT FOUND IN SCHEMA,
transplantationType,Computer Generated,17,"nf_17.csv, nf_18.csv, nf_19.csv",Found (Case Insensitive),TransplantationType
parentSpecimenID,Computer Generated,15,"nf_1.csv, nf_2.csv, nf_3.csv",Found (Case Insensitive),ParentSpecimenID
accessType,Computer Generated,15,"nf_12.csv, nf_13.csv, nf_14.csv",Found (Case Insensitive),AccessType
eTag,Computer Generated,15,"nf_21.csv, nf_22.csv, nf_23.csv",Found (Case Insensitive),Etag
genePerturbationType,Computer Generated,14,"nf_17.csv, nf_18.csv, nf_19.csv",Found (Case Insensitive),GenePerturbationType
Component,Computer Generated,14,"nf_21.csv, nf_22.csv, nf_23.csv",Found (Exact),Component
name,Computer Generated,13,"nf_12.csv, nf_15.csv, nf_16.csv",NOT FOUND IN SCHEMA,
path,Computer Generated,13,"nf_13.csv, nf_14.csv, nf_15.csv",NOT FOUND IN SCHEMA,
aliquotID,Computer Generated,12,"nf_2.csv, nf_3.csv, nf_33.csv",Found (Case Insensitive),AliquotID
drugScreenType,Computer Generated,11,"nf_10.csv, nf_11.csv, nf_17.csv",Found (Case Insensitive),DrugScreenType
description,Computer Generated,11,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),Description
dataFileBucket,Computer Generated,11,"nf_13.csv, nf_14.csv, nf_15.csv",NOT FOUND IN SCHEMA,
Uuid,Computer Generated,11,"nf_28.csv, nf_29.csv, nf_30.csv",NOT FOUND IN SCHEMA,
dataFileName,Computer Generated,9,"nf_13.csv, nf_14.csv, nf_15.csv",NOT FOUND IN SCHEMA,
dataFileConcreteType,Computer Generated,9,"nf_13.csv, nf_14.csv, nf_15.csv",NOT FOUND IN SCHEMA,
dataFileKey,Computer Generated,9,"nf_13.csv, nf_14.csv, nf_15.csv",NOT FOUND IN SCHEMA,
comments,Computer Generated,7,"nf_21.csv, nf_33.csv, nf_34.csv",Found (Case Insensitive),Comments
reportMilestone,Computer Generated,5,"nf_24.csv, nf_25.csv, nf_28.csv",NOT FOUND IN SCHEMA,
analysisType,Computer Generated,5,"nf_28.csv, nf_29.csv, nf_30.csv",NOT FOUND IN SCHEMA,
Resource_id,Computer Generated,3,"nf_10.csv, nf_11.csv, nf_12.csv",NOT FOUND IN SCHEMA,
Id,Computer Generated,3,"nf_21.csv, nf_22.csv, nf_23.csv",Found (Exact),Id
fileType,Computer Generated,3,"nf_28.csv, nf_29.csv, nf_30.csv",NOT FOUND IN SCHEMA,
tissueType,Computer Generated,3,"nf_28.csv, nf_29.csv, nf_30.csv",NOT FOUND IN SCHEMA,
averageInsertSize,Computer Generated,3,"nf_28.csv, nf_29.csv, nf_30.csv",Found (Case Insensitive),AverageInsertSize
averageReadLength,Computer Generated,3,"nf_28.csv, nf_29.csv, nf_30.csv",Found (Case Insensitive),AverageReadLength
disease,Computer Generated,2,"nf_10.csv, nf_11.csv",NOT FOUND IN SCHEMA,
Filename,Computer Generated,2,"nf_24.csv, nf_25.csv",Found (Exact),Filename
experimentId,Computer Generated,2,"nf_24.csv, nf_25.csv",Found (Case Insensitive),ExperimentId
data_type,Computer Generated,2,"nf_26.csv, nf_27.csv",NOT FOUND IN SCHEMA,
structureType,Computer Generated,2,"nf_31.csv, nf_32.csv",NOT FOUND IN SCHEMA,
libraryPreparationMethod,Computer Generated,1,nf_14.csv,Found (Case Insensitive),LibraryPreparationMethod
modelSystemName,Computer Generated,1,nf_32.csv,Found (Case Insensitive),ModelSystemName
targetCaptureKitID,Computer Generated,1,nf_6.csv,Found (Case Insensitive),TargetCaptureKitID
assay,Human Annotated,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),Assay
species,Human Annotated,38,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),Species
fundingAgency,Human Annotated,36,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),FundingAgency
sex,Human Annotated,36,"nf_1.csv, nf_12.csv, nf_13.csv",Found (Case Insensitive),Sex
isCellLine,Human Annotated,34,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),IsCellLine
initiative,Human Annotated,32,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),Initiative
organ,Human Annotated,31,"nf_10.csv, nf_11.csv, nf_12.csv",Found (Case Insensitive),Organ
tissue,Human Annotated,31,"nf_10.csv, nf_11.csv, nf_12.csv",Found (Case Insensitive),Tissue
readPair,Human Annotated,28,"nf_12.csv, nf_13.csv, nf_14.csv",Found (Case Insensitive),ReadPair
isPrimaryCell,Human Annotated,26,"nf_1.csv, nf_13.csv, nf_14.csv",Found (Case Insensitive),IsPrimaryCell
name,Human Annotated,25,"nf_1.csv, nf_10.csv, nf_11.csv",NOT FOUND IN SCHEMA,
modelSystemName,Human Annotated,24,"nf_1.csv, nf_12.csv, nf_2.csv",Found (Case Insensitive),ModelSystemName
libraryPrep,Human Annotated,24,"nf_12.csv, nf_13.csv, nf_14.csv",Found (Case Insensitive),LibraryPrep
age,Human Annotated,22,"nf_1.csv, nf_2.csv, nf_21.csv",Found (Case Insensitive),Age
nucleicAcidSource,Human Annotated,22,"nf_1.csv, nf_12.csv, nf_13.csv",Found (Case Insensitive),NucleicAcidSource
readStrandOrigin,Human Annotated,22,"nf_12.csv, nf_13.csv, nf_14.csv",Found (Case Insensitive),ReadStrandOrigin
libraryPreparationMethod,Human Annotated,22,"nf_13.csv, nf_15.csv, nf_16.csv",Found (Case Insensitive),LibraryPreparationMethod
isMultiIndividual,Human Annotated,21,"nf_10.csv, nf_11.csv, nf_12.csv",Found (Case Insensitive),IsMultiIndividual
isMultiSpecimen,Human Annotated,21,"nf_10.csv, nf_11.csv, nf_12.csv",Found (Case Insensitive),IsMultiSpecimen
isStranded,Human Annotated,19,"nf_12.csv, nf_13.csv, nf_14.csv",Found (Case Insensitive),IsStranded
timePointUnit,Human Annotated,19,"nf_17.csv, nf_18.csv, nf_19.csv",Found (Case Insensitive),TimepointUnit
progressReportNumber,Human Annotated,18,"nf_1.csv, nf_2.csv, nf_28.csv",Found (Case Insensitive),ProgressReportNumber
specimenPreparationMethod,Human Annotated,18,"nf_12.csv, nf_2.csv, nf_21.csv",Found (Case Insensitive),SpecimenPreparationMethod
dissociationMethod,Human Annotated,17,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),DissociationMethod
diagnosis,Human Annotated,16,"nf_1.csv, nf_12.csv, nf_13.csv",Found (Case Insensitive),Diagnosis
platform,Human Annotated,16,"nf_1.csv, nf_13.csv, nf_16.csv",Found (Case Insensitive),Platform
ageUnit,Human Annotated,15,"nf_1.csv, nf_2.csv, nf_3.csv",Found (Case Insensitive),AgeUnit
studyName,Human Annotated,15,"nf_1.csv, nf_10.csv, nf_11.csv",Found (Case Insensitive),StudyName
genePerturbationTechnology,Human Annotated,14,"nf_17.csv, nf_18.csv, nf_19.csv",Found (Case Insensitive),GenePerturbationTechnology
genePerturbed,Human Annotated,14,"nf_17.csv, nf_18.csv, nf_19.csv",Found (Case Insensitive),GenePerturbed
consortium,Human Annotated,13,"nf_13.csv, nf_14.csv, nf_15.csv",NOT FOUND IN SCHEMA,
accessTeam,Human Annotated,11,"nf_12.csv, nf_21.csv, nf_22.csv",NOT FOUND IN SCHEMA,
compoundName,Human Annotated,11,"nf_17.csv, nf_18.csv, nf_19.csv",Found (Case Insensitive),CompoundName
study,Human Annotated,9,"nf_17.csv, nf_18.csv, nf_19.csv",NOT FOUND IN SCHEMA,
comments,Human Annotated,9,"nf_2.csv, nf_22.csv, nf_23.csv",Found (Case Insensitive),Comments
readDepth,Human Annotated,9,"nf_2.csv, nf_3.csv, nf_33.csv",Found (Case Insensitive),ReadDepth
specimenIdSource,Human Annotated,8,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),SpecimenIDSource
transplantationDonorTissue,Human Annotated,8,"nf_17.csv, nf_18.csv, nf_19.csv",NOT FOUND IN SCHEMA,
transplantationRecipientTissue,Human Annotated,8,"nf_17.csv, nf_18.csv, nf_19.csv",Found (Case Insensitive),TransplantationRecipientTissue
transplantationRecipientSpecies,Human Annotated,8,"nf_24.csv, nf_25.csv, nf_33.csv",Found (Case Insensitive),TransplantationRecipientSpecies
experimentalTimepoint,Human Annotated,8,"nf_33.csv, nf_34.csv, nf_35.csv",Found (Case Insensitive),ExperimentalTimepoint
isXenograft,Human Annotated,6,"nf_1.csv, nf_21.csv, nf_22.csv",Found (Case Insensitive),IsXenograft
individualIdSource,Human Annotated,6,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),IndividualIdSource
experimentalTimePoint,Human Annotated,6,"nf_17.csv, nf_18.csv, nf_19.csv",Found (Case Insensitive),ExperimentalTimepoint
transplantationDonorSpecies,Human Annotated,6,"nf_17.csv, nf_18.csv, nf_19.csv",NOT FOUND IN SCHEMA,
compoundDoseUnit,Human Annotated,6,"nf_17.csv, nf_18.csv, nf_19.csv",Found (Case Insensitive),CompoundDoseUnit
secondCompoundName,Human Annotated,6,"nf_17.csv, nf_18.csv, nf_19.csv",NOT FOUND IN SCHEMA,
libraryStrand,Human Annotated,6,"nf_21.csv, nf_22.csv, nf_23.csv",Found (Case Insensitive),LibraryStrand
modelOf,Human Annotated,5,"nf_21.csv, nf_22.csv, nf_23.csv",NOT FOUND IN SCHEMA,
workflow,Human Annotated,5,"nf_26.csv, nf_27.csv, nf_28.csv",Found (Case Insensitive),Workflow
workflowLink,Human Annotated,5,"nf_26.csv, nf_27.csv, nf_28.csv",Found (Case Insensitive),WorkflowLink
differentialExpressionMethod,Human Annotated,5,"nf_28.csv, nf_29.csv, nf_30.csv",NOT FOUND IN SCHEMA,
detailed_diagnosis,Human Annotated,4,"nf_13.csv, nf_14.csv, nf_15.csv",NOT FOUND IN SCHEMA,
bodyPart,Human Annotated,4,"nf_13.csv, nf_14.csv, nf_15.csv",NOT FOUND IN SCHEMA,
pain,Human Annotated,4,"nf_13.csv, nf_14.csv, nf_15.csv",Found (Case Insensitive),Pain
modelSystem,Human Annotated,4,"nf_17.csv, nf_18.csv, nf_19.csv",NOT FOUND IN SCHEMA,
age_months,Human Annotated,3,"nf_28.csv, nf_29.csv, nf_30.csv",NOT FOUND IN SCHEMA,
disease,Human Annotated,3,"nf_28.csv, nf_29.csv, nf_30.csv",NOT FOUND IN SCHEMA,
sampleIdentifier,Human Annotated,3,"nf_28.csv, nf_29.csv, nf_30.csv",NOT FOUND IN SCHEMA,
averageBaseQuality,Human Annotated,3,"nf_28.csv, nf_29.csv, nf_30.csv",Found (Case Insensitive),AverageBaseQuality
expressionUnit,Human Annotated,3,"nf_28.csv, nf_29.csv, nf_30.csv",Found (Case Insensitive),ExpressionUnit
genomicReference,Human Annotated,3,"nf_28.csv, nf_29.csv, nf_30.csv",Found (Case Insensitive),GenomicReference
pairsOnDifferentChr,Human Annotated,3,"nf_28.csv, nf_29.csv, nf_30.csv",Found (Case Insensitive),PairsOnDifferentChr
readsDuplicatedPercent,Human Annotated,3,"nf_28.csv, nf_29.csv, nf_30.csv",Found (Case Insensitive),ReadsDuplicatedPercent
readsMappedPercent,Human Annotated,3,"nf_28.csv, nf_29.csv, nf_30.csv",Found (Case Insensitive),ReadsMappedPercent
totalReads,Human Annotated,3,"nf_28.csv, nf_29.csv, nf_30.csv",Found (Case Insensitive),TotalReads
modelSystemStrainNomenclature,Human Annotated,2,"nf_24.csv, nf_25.csv",NOT FOUND IN SCHEMA,
caseNumber,Human Annotated,2,"nf_26.csv, nf_27.csv",NOT FOUND IN SCHEMA,
studySite,Human Annotated,2,"nf_26.csv, nf_27.csv",NOT FOUND IN SCHEMA,
compoundDose,Human Annotated,2,"nf_31.csv, nf_32.csv",Found (Case Insensitive),CompoundDose
compoundDoseRange,Human Annotated,2,"nf_31.csv, nf_32.csv",NOT FOUND IN SCHEMA,
multipleTestingAdjustmentMethod,Human Annotated,2,"nf_31.csv, nf_32.csv",NOT FOUND IN SCHEMA,
alignmentMethod,Human Annotated,2,"nf_31.csv, nf_32.csv",NOT FOUND IN SCHEMA,
transcriptQuantificationMethod,Human Annotated,2,"nf_31.csv, nf_32.csv",NOT FOUND IN SCHEMA,
chemicalStructure,Human Annotated,2,"nf_31.csv, nf_32.csv",NOT FOUND IN SCHEMA,
channel,Human Annotated,1,nf_4.csv,Found (Case Insensitive),Channel
targetDepth,Human Annotated,1,nf_9.csv,Found (Case Insensitive),TargetDepth
